RECEIVE TIME: 26-04-2023 19:21:07.	 CLIENT ID: -1	 REQUEST INIT
RECEIVE TIME: 26-04-2023 19:21:10.	 CLIENT ID: -1	 REQUEST INIT
RECEIVE TIME: 26-04-2023 19:21:13.	 CLIENT ID: 1	 REQUEST LIST
RECEIVE TIME: 26-04-2023 19:21:17.	 CLIENT ID: 0	 REQUEST STOP
RECEIVE TIME: 26-04-2023 19:21:22.	 CLIENT ID: 1	 REQUEST LIST
RECEIVE TIME: 26-04-2023 19:21:27.	 CLIENT ID: -1	 REQUEST INIT
RECEIVE TIME: 26-04-2023 19:21:31.	 CLIENT ID: -1	 REQUEST INIT
RECEIVE TIME: 26-04-2023 19:21:36.	 CLIENT ID: 2	 REQUEST TO ONE
RECEIVE TIME: 26-04-2023 19:21:51.	 CLIENT ID: 2	 REQUEST TO ONE
RECEIVE TIME: 26-04-2023 19:22:00.	 CLIENT ID: 0	 REQUEST TO ALL
RECEIVE TIME: 26-04-2023 19:22:20.	 CLIENT ID: 2	 REQUEST TO ALL
RECEIVE TIME: 26-04-2023 19:22:47.	 CLIENT ID: 0	 REQUEST STOP
